id,id_student,gender,region,highest_education,imd_band,age_band,studied_credits,disability,num_of_prev_attempts_y,sum_click,id_site,final_result,final_result_code
41,123044,1,4,1,5,2,60,1,0.0,3.401666666666667,328034031.0,Pass,1
42,127582,0,8,1,5,1,180,1,0.0,3.0022727272727274,240552578.0,Pass,1
43,129955,1,6,1,6,1,60,1,0.5,3.515828677839851,370885770.0,Withdrawn,2
44,129955,1,6,1,6,1,60,1,0.5,3.515828677839851,370885770.0,Withdrawn,2
45,132976,0,2,2,9,2,120,1,0.0,3.4210526315789473,83101981.0,Pass,1
46,134143,0,9,1,10,2,60,1,0.0,4.801405975395431,311077598.0,Distinction,4
47,135335,0,2,2,1,1,180,1,0.5,2.1470588235294117,21560671.0,Withdrawn,2
48,135335,0,2,2,1,1,120,1,0.5,2.1470588235294117,21560671.0,Withdrawn,2
49,135400,0,9,2,10,2,60,2,0.5,3.01980198019802,141165508.0,Withdrawn,2
50,135400,0,9,2,10,2,60,2,0.5,3.01980198019802,141165508.0,Pass,1
51,137873,1,7,1,5,2,60,1,0.0,3.923349893541519,770281745.0,Pass,1
52,141355,0,8,1,2,1,240,1,0.0,3.1162393162393163,319816919.0,Pass,1
53,141377,1,7,1,10,1,345,1,0.5,3.024,205130485.0,Withdrawn,2
54,141377,1,7,1,10,1,210,1,0.5,3.024,205130485.0,Pass,1
55,142326,0,12,1,6,2,60,1,0.0,3.3613312202852614,344983793.0,Pass,1
56,144801,0,4,3,9,2,60,1,0.0,3.484567901234568,885665954.0,Pass,1
57,145130,1,7,3,7,1,120,1,0.0,3.033557046979866,81458898.0,Pass,1
58,146188,0,6,1,1,1,60,2,0.0,3.109375,104970702.0,Fail,3
59,147756,1,12,2,7,1,120,1,0.5,2.911864406779661,442279314.0,Fail,3
60,147756,1,12,2,7,1,120,1,0.5,2.911864406779661,442279314.0,Pass,1
61,147793,0,12,2,9,1,90,1,0.0,3.7804878048780486,22414943.0,Withdrawn,2
62,148993,0,5,1,2,2,60,2,0.5,2.99685534591195,932969940.0,Withdrawn,2
63,148993,0,5,1,2,2,60,2,0.5,2.99685534591195,932969940.0,Pass,1
64,151358,0,3,1,9,1,150,1,0.0,3.033707865168539,48659416.0,Pass,1
65,155550,1,3,1,4,2,420,1,0.0,3.649164677804296,229086451.0,Pass,1
66,155854,0,8,1,1,2,60,1,0.0,4.156801661474558,526458515.0,Pass,1
67,155984,0,2,2,8,1,60,1,0.5,3.2816377171215882,626396424.0,Withdrawn,2
68,155984,0,2,2,8,1,120,1,0.5,3.2816377171215882,626396424.0,Pass,1
69,157568,0,7,1,10,1,60,1,0.0,3.639896373056995,211041499.0,Pass,1
70,159954,1,8,1,5,2,60,1,0.5,3.182098765432099,462630909.0,Withdrawn,2
71,159954,1,8,1,5,2,60,1,0.5,3.182098765432099,462630909.0,Withdrawn,2
72,164259,1,1,1,8,1,60,1,0.0,1.9497907949790796,130675083.0,Pass,1
73,167906,0,11,1,5,2,60,1,0.0,2.9320388349514563,281557532.0,Pass,1
74,168936,0,6,2,3,2,60,1,0.0,2.466887417218543,165103668.0,Pass,1
75,172112,1,13,3,0,2,60,1,0.0,2.781922525107604,381061798.0,Pass,1
76,172797,0,13,1,0,2,60,1,0.0,4.293975903614458,226892243.0,Pass,1
77,174782,1,2,3,10,3,60,1,0.0,3.8454047474132684,898205578.0,Pass,1
78,175392,1,12,3,0,2,60,1,0.0,3.3920671243325704,716714987.0,Pass,1
79,175932,1,5,3,8,2,60,1,0.0,4.613272311212815,238914616.0,Pass,1
80,175991,0,5,1,9,1,180,1,0.0,2.76,27334755.0,Fail,3
81,180753,1,7,1,2,1,120,1,0.0,2.344988344988345,469071745.0,Pass,1
82,181316,0,7,1,9,2,120,1,0.0,3.3586206896551722,79273281.0,Withdrawn,2
83,183096,0,7,1,7,1,60,1,0.0,3.610603290676417,299053512.0,Pass,1
84,183947,1,3,1,3,1,180,1,0.0,2.619565217391304,201190917.0,Pass,1
85,184271,1,7,3,9,2,170,1,0.0,2.750524109014675,260775242.0,Pass,1
86,185439,1,3,3,3,1,120,1,0.0,4.313131313131313,54128042.0,Fail,3
87,186149,1,1,3,2,2,60,1,0.0,3.651282051282051,319834608.0,Pass,1
88,187100,1,9,1,6,2,60,1,0.0,4.454734651404786,1050767764.0,Distinction,4
89,188278,1,11,1,8,2,120,1,0.5,3.0160965794768613,1178431093.0,Withdrawn,2
90,188278,1,11,1,8,2,60,1,0.5,3.0160965794768613,1178431093.0,Pass,1
91,189879,1,1,1,10,1,120,1,0.0,3.486425339366516,241646799.0,Pass,1
92,192183,0,7,2,10,1,60,1,0.0,4.003731343283582,439565233.0,Pass,1
93,195262,1,3,1,10,1,60,1,0.0,5.411931818181818,192442933.0,Withdrawn,2
94,200860,1,3,2,6,2,60,1,0.0,1.9071428571428573,153075126.0,Pass,1
95,202635,0,10,1,2,1,60,1,0.0,4.774410774410774,162366815.0,Withdrawn,2
96,205350,1,7,3,9,2,60,1,0.0,2.9573712255772646,307799957.0,Pass,1
97,205719,1,2,1,5,1,90,2,0.0,2.8461538461538463,63967786.0,Fail,3
98,227499,0,3,1,3,2,60,1,0.0,3.6592317224287485,441191298.0,Distinction,4
99,227517,1,13,3,0,1,180,1,0.0,3.1136950904392764,211576555.0,Fail,3
100,228082,1,3,3,7,1,60,1,0.0,1.6691176470588236,74356008.0,Pass,1
101,228222,1,8,2,6,1,60,1,0.0,2.680722891566265,90755846.0,Pass,1
102,229179,1,6,1,1,1,60,1,0.0,3.766871165644172,89115934.0,Pass,1
103,229361,1,8,1,6,1,60,1,0.0,3.481375358166189,190801716.0,Pass,1
104,231554,1,3,1,5,1,240,1,0.0,4.227586206896552,237811647.0,Pass,1
105,235507,1,11,1,10,1,240,1,0.5,2.1975524475524475,478493830.0,Withdrawn,2
106,235507,1,11,1,10,1,180,1,0.5,2.1975524475524475,478493830.0,Pass,1
107,236284,1,1,5,10,1,60,1,0.0,3.4857142857142858,114812884.0,Pass,1
108,238007,1,4,3,10,3,60,1,0.0,2.6043068640646028,406209707.0,Pass,1
109,240712,1,3,3,9,1,80,1,0.0,3.0,58497425.0,Pass,1
110,240884,1,4,1,10,1,120,1,0.0,2.235602094240838,104426718.0,Pass,1
111,241649,1,2,3,10,2,60,1,0.0,3.3019197207678883,313262395.0,Pass,1
112,241729,0,8,3,7,2,60,1,0.0,2.917065390749601,342791623.0,Fail,3
113,242793,1,3,3,1,2,60,1,0.0,2.5019011406844105,143792107.0,Pass,1
114,246834,1,7,1,10,2,60,1,0.0,3.3447293447293447,191903131.0,Pass,1
115,248270,1,5,2,1,1,90,1,0.0,2.6183510638297873,411104682.0,Pass,1
116,255548,1,10,2,1,2,60,1,0.0,3.165644171779141,445581258.0,Pass,1
117,256815,1,5,3,3,1,120,1,0.0,2.859073359073359,283202002.0,Pass,1
118,258392,0,6,2,2,1,60,1,0.0,2.822742474916388,163481477.0,Pass,1
119,258894,0,2,2,8,2,60,1,0.0,3.6226277372262774,748956843.0,Pass,1
120,260355,0,3,1,9,2,60,1,0.5,3.1791044776119404,73255607.0,Withdrawn,2
121,260355,0,3,1,9,2,120,1,0.5,3.1791044776119404,73255607.0,Withdrawn,2
122,262011,1,8,1,1,2,60,1,0.0,3.0898550724637683,188617309.0,Pass,1
123,262934,0,5,1,2,2,60,1,0.0,3.3570432357043236,391997547.0,Pass,1
124,268073,1,2,1,3,2,90,1,0.0,4.483240223463687,391443899.0,Fail,3
125,268733,1,2,1,2,1,180,1,0.5,3.4107142857142856,30946104.0,Withdrawn,2
126,268733,1,2,1,2,1,120,1,0.5,3.4107142857142856,30946104.0,Fail,3
127,271251,1,1,1,9,2,60,1,0.0,5.23943661971831,349369723.0,Pass,1
128,277880,0,9,1,7,1,60,1,0.5,4.251572327044025,263087210.0,Withdrawn,2
129,277880,0,9,1,7,1,120,1,0.5,4.251572327044025,263087210.0,Withdrawn,2
130,279572,1,3,2,5,1,60,1,0.0,3.983164983164983,162371483.0,Distinction,4
131,281022,0,1,1,2,1,150,1,0.0,2.6885245901639343,100049323.0,Pass,1
132,281250,1,10,2,8,2,60,1,0.0,1.6883116883116882,42099034.0,Fail,3
133,281589,1,5,3,2,1,60,1,0.0,2.107142857142857,15306343.0,Fail,3
134,282821,1,7,1,2,2,60,1,0.0,4.102510460251046,261335354.0,Pass,1
135,286488,1,9,1,10,2,60,1,0.0,3.683098591549296,155267747.0,Pass,1
136,287548,1,2,1,10,1,120,1,0.0,3.3541666666666665,78723480.0,Pass,1
137,290201,1,10,1,1,1,60,1,0.0,3.5080645161290325,271186620.0,Pass,1
138,290757,1,5,1,2,1,60,1,0.0,4.261437908496732,83651000.0,Pass,1
139,291334,1,9,1,10,2,60,1,0.0,2.78392762107504,1027230594.0,Distinction,4
140,292923,0,9,1,10,2,180,1,0.0,0.0,0.0,Withdrawn,2
141,293699,1,8,1,8,1,120,1,0.0,1.6403508771929824,62326880.0,Pass,1
142,294570,1,9,3,10,3,60,1,0.0,4.052511415525114,239456855.0,Pass,1
143,294594,1,9,1,10,1,60,1,0.0,3.37890625,139954963.0,Pass,1
144,295741,1,9,1,5,2,240,1,0.0,3.0683168316831684,717361863.0,Fail,3
145,295741,1,9,1,5,2,180,1,0.0,3.0683168316831684,717361863.0,Pass,1
146,296332,1,4,5,10,3,60,1,0.0,4.211350293542075,279361703.0,Distinction,4
147,298696,0,9,3,9,1,60,1,0.0,2.557213930348259,109893187.0,Pass,1
148,300398,1,6,1,2,2,60,1,0.0,3.443103448275862,317086277.0,Pass,1
149,302302,0,2,1,5,1,60,1,0.0,3.109090909090909,90211108.0,Fail,3
150,305152,1,5,1,8,1,60,1,0.0,3.3181818181818183,24054486.0,Fail,3
151,305386,1,6,1,8,1,120,2,0.0,3.470108695652174,201187595.0,Pass,1
152,305539,0,10,2,9,1,120,1,0.0,2.6153846153846154,14214634.0,Withdrawn,2
153,306107,1,6,1,6,2,120,1,0.0,3.0652173913043477,176050111.0,Pass,1
154,306466,1,2,1,10,2,60,1,0.0,3.2275132275132274,206650095.0,Pass,1
155,306897,0,3,1,3,1,60,1,0.0,2.4658273381294964,607895764.0,Pass,1
156,307061,0,8,3,3,1,60,1,0.0,2.6957605985037407,219241658.0,Pass,1
157,307866,1,6,1,8,1,60,1,0.0,3.9151193633952253,206107748.0,Pass,1
158,311917,1,7,1,7,3,120,1,0.0,3.204022988505747,380525080.0,Pass,1
159,312537,1,4,5,10,3,60,1,0.0,7.02016348773842,1003163361.0,Distinction,4
160,312782,1,4,1,10,1,60,1,0.0,2.650943396226415,57949962.0,Pass,1
161,318933,0,2,3,9,1,120,1,0.0,2.784782608695652,251483944.0,Pass,1
162,319047,0,8,1,6,1,60,1,0.0,3.4086911536471804,1056774330.0,Pass,1
163,321942,1,4,3,10,3,60,1,0.0,4.727144866385372,1166087454.0,Pass,1
164,324002,1,2,3,5,2,60,1,0.0,3.1163934426229507,333510725.0,Pass,1
165,324084,0,7,1,3,2,60,1,0.0,3.9696356275303644,270062364.0,Pass,1
166,324282,1,9,1,10,1,120,1,0.0,1.7972972972972974,40453991.0,Pass,1
167,331358,0,4,3,10,2,60,1,0.5,3.836924868957484,1332238229.0,Withdrawn,2
168,331358,0,4,3,10,2,60,1,0.5,3.836924868957484,1332238229.0,Distinction,4
169,332789,0,2,1,7,2,60,1,0.0,3.6941964285714284,244917204.0,Pass,1
170,333059,1,1,1,1,1,120,1,0.0,2.213235294117647,74354633.0,Pass,1
171,333323,1,1,3,9,1,60,1,0.0,3.640449438202247,97314450.0,Pass,1
172,334259,0,3,1,6,1,150,1,0.0,2.721311475409836,66697005.0,Fail,3
173,334333,0,7,1,4,1,240,2,0.0,3.03,54670478.0,Withdrawn,2
174,335764,0,9,1,1,1,60,1,0.5,2.8567272727272726,964852575.0,Withdrawn,2
175,335764,0,9,1,1,1,60,1,0.5,2.8567272727272726,964852575.0,Pass,1
176,336207,1,2,1,10,1,120,1,0.0,3.323232323232323,216496601.0,Pass,1
177,339972,1,12,1,9,1,60,1,0.0,2.664,68341947.0,Pass,1
178,341872,1,2,2,5,1,180,1,0.0,1.7787610619469028,61781040.0,Fail,3
179,342007,0,6,3,8,1,60,1,0.5,3.4543478260869565,731735688.0,Withdrawn,2
180,342007,0,6,3,8,1,60,1,0.5,3.4543478260869565,731735688.0,Pass,1
181,342514,1,1,2,6,3,60,1,0.0,4.3624161073825505,244390846.0,Pass,1
182,342972,1,11,3,4,1,60,1,0.0,2.5944272445820435,176590463.0,Pass,1
183,343446,1,13,3,8,2,120,1,0.0,2.9942481511914543,665312999.0,Pass,1
184,344282,1,11,1,3,1,60,1,0.0,1.2264150943396226,28977333.0,Fail,3
185,345068,1,2,1,7,1,180,2,0.0,2.568075117370892,116453845.0,Pass,1
186,345357,1,11,1,2,1,60,1,0.0,3.010854816824966,402932157.0,Distinction,4
187,346025,1,2,1,6,1,120,1,0.0,2.0919117647058822,148699792.0,Pass,1
188,346843,0,1,3,6,2,120,1,0.0,4.1,21869343.0,Fail,3
189,350188,1,5,3,9,2,60,1,0.0,2.4082278481012658,172767877.0,Pass,1
190,354858,1,4,3,10,2,120,1,0.0,4.304347826086956,25149950.0,Withdrawn,2
191,357668,1,11,1,3,1,60,1,0.0,1.8863636363636365,48112582.0,Fail,3
192,364177,1,2,2,8,2,60,1,0.0,3.3925619834710745,132309776.0,Fail,3
193,365244,0,3,1,4,1,120,1,0.0,2.2109181141439205,220322895.0,Pass,1
194,365642,1,2,2,3,2,60,1,0.0,2.8198675496688743,412761438.0,Pass,1
195,366483,1,7,3,5,1,60,1,0.0,3.002049180327869,266802260.0,Pass,1
196,368194,0,7,1,6,1,120,2,0.0,2.5857988165680474,92402404.0,Pass,1
197,368824,1,10,3,6,2,120,1,0.0,2.3548387096774195,67796809.0,Fail,3
198,368963,1,11,2,4,1,180,1,0.0,3.008888888888889,123015764.0,Pass,1
199,376439,1,12,3,0,1,60,1,0.0,3.0775295663600524,416029979.0,Distinction,4
200,376581,0,4,1,9,2,60,1,0.0,3.7208931419457736,342801744.0,Pass,1
201,380953,1,8,1,9,1,60,1,0.0,2.839572192513369,204468871.0,Pass,1
202,383254,1,11,1,10,1,120,1,0.0,1.9963235294117647,148711943.0,Pass,1
203,386924,1,13,2,0,1,120,1,0.0,1.7083333333333333,52486449.0,Pass,1
204,386952,1,11,1,8,1,120,1,0.0,2.549019607843137,195173315.0,Pass,1
205,388722,0,3,2,9,2,60,1,0.0,3.0225225225225225,121371482.0,Pass,1
206,388885,1,7,1,10,2,60,1,0.0,3.5714285714285716,133946163.0,Pass,1
207,390890,1,1,1,4,1,90,1,0.5,2.6729222520107236,255466439.0,Withdrawn,2
208,390890,1,1,1,4,1,90,1,0.5,2.6729222520107236,255466439.0,Pass,1
209,392756,1,6,1,8,1,120,1,0.0,2.1736526946107784,91298258.0,Fail,3
210,392931,0,5,1,6,2,120,1,0.0,3.1346555323590812,523721508.0,Pass,1
211,393207,1,5,1,7,1,60,1,0.0,3.6962025316455698,129570958.0,Pass,1
212,396872,1,11,3,6,1,180,1,0.0,3.244299674267101,167842898.0,Pass,1
213,398552,1,11,2,10,1,240,1,0.0,3.6625386996904026,176586781.0,Fail,3
214,401869,0,9,2,9,1,60,1,0.0,2.7130681818181817,192442508.0,Pass,1
215,402470,1,7,2,6,2,60,1,0.0,4.176300578034682,189164631.0,Pass,1
216,404804,1,10,2,1,2,120,1,0.0,3.348684210526316,83104699.0,Pass,1
217,405088,1,12,1,1,1,120,1,0.0,3.393643031784841,223604729.0,Pass,1
218,405961,1,1,1,10,1,240,2,0.0,0.0,0.0,Withdrawn,2
219,414117,1,11,1,6,1,120,1,0.0,2.5062111801242235,176038112.0,Pass,1
220,415969,1,6,3,4,2,90,1,0.5,4.217261904761905,196584114.0,Withdrawn,2
221,415969,1,6,3,4,2,60,1,0.5,4.217261904761905,196584114.0,Fail,3
222,420087,1,1,1,5,1,60,2,0.0,2.4963503649635035,74899903.0,Fail,3
223,429958,0,5,1,8,1,60,1,0.0,3.288,68340088.0,Pass,1
224,441018,0,9,1,8,1,150,1,0.0,2.636734693877551,133940418.0,Pass,1
225,441888,1,3,1,1,1,120,1,0.0,2.7169117647058822,148707121.0,Pass,1
226,442442,1,7,3,9,1,120,1,0.0,3.4203389830508475,161278318.0,Withdrawn,2
227,444677,1,3,3,2,1,60,1,0.0,2.447731755424063,277172707.0,Distinction,4
228,470588,1,9,3,10,2,60,1,0.5,4.028708133971292,156551175.0,Withdrawn,2
229,470588,1,9,3,10,2,60,1,0.5,4.028708133971292,156551175.0,Withdrawn,2
230,489455,0,7,1,1,1,60,1,0.0,3.504950495049505,441740157.0,Pass,1
231,494424,0,12,1,9,1,60,1,0.0,2.761904761904762,11480954.0,Fail,3
232,495284,1,9,3,9,1,120,1,0.0,3.9004329004329006,126286361.0,Pass,1
233,498857,1,5,3,9,2,60,1,0.0,2.91812865497076,186974387.0,Pass,1
234,508818,1,3,1,5,1,120,1,0.0,4.12043795620438,149789162.0,Pass,1
235,512460,1,9,3,10,1,120,1,0.0,2.217021276595745,128478141.0,Pass,1
236,544103,1,5,3,5,1,120,1,0.0,3.2605042016806722,390356671.0,Pass,1
237,550383,1,9,3,7,1,60,1,0.0,3.8559322033898304,129023564.0,Pass,1
238,564450,1,6,3,9,1,120,1,0.0,2.5454545454545454,48111627.0,Fail,3
239,568601,0,1,3,2,1,60,1,0.0,5.809523809523809,45925163.0,Withdrawn,2
240,572652,1,6,3,8,1,120,1,0.0,3.9,109344423.0,Pass,1
241,580389,1,13,3,10,1,120,1,0.0,4.022151898734177,172756896.0,Pass,1
242,581129,1,2,1,2,1,120,1,0.0,2.5526315789473686,41549330.0,Fail,3
243,588775,1,7,1,10,1,120,1,0.0,4.077899596076168,947393874.0,Pass,1
244,591774,1,4,5,10,2,60,1,0.0,2.8947368421052633,114259727.0,Pass,1
245,603861,1,12,3,0,3,60,1,0.5,3.7713310580204777,177362981.0,Withdrawn,2
246,603861,1,12,3,0,3,60,1,0.5,3.7713310580204777,177362981.0,Withdrawn,2
247,606143,1,1,5,10,2,60,1,0.0,3.147286821705426,70523504.0,Fail,3
248,704156,1,4,3,10,3,120,1,0.0,4.129380053908355,405668485.0,Pass,1
249,705379,1,6,1,7,3,120,1,0.0,3.941707147814018,787811957.0,Distinction,4
250,721259,0,4,2,6,3,120,1,0.5,4.662883087400681,679540766.0,Withdrawn,2
251,721259,0,4,2,6,3,60,1,0.5,4.662883087400681,679540766.0,Withdrawn,2
252,749412,1,4,2,8,3,60,1,0.0,3.404418011894647,643445975.0,Pass,1
253,760729,1,6,1,7,3,60,1,0.0,3.984691088026244,999923336.0,Distinction,4
254,905042,0,2,1,10,2,60,1,0.0,3.4331428571428573,478387866.0,Pass,1
255,949618,0,7,1,6,2,60,1,0.0,2.4275491949910553,305590999.0,Pass,1
256,958987,1,5,3,5,2,60,1,0.0,3.1099744245524295,213772513.0,Pass,1
257,968578,0,2,1,5,2,60,1,0.0,3.246268656716418,146515824.0,Pass,1
258,969076,1,7,1,9,2,180,1,0.0,2.6541554959785523,407808806.0,Withdrawn,2
259,971027,0,6,3,10,2,60,1,0.0,4.076315789473684,415509175.0,Pass,1
260,978739,1,4,3,10,2,60,1,0.0,5.238845144356955,624885127.0,Pass,1
261,1035023,0,3,2,2,2,60,1,0.0,3.3146853146853146,312712376.0,Pass,1
262,1105478,1,1,3,9,3,60,1,0.0,3.310546875,279917755.0,Pass,1
263,1352868,1,11,1,1,2,60,1,0.5,3.10951526032316,431439274.0,Withdrawn,2
264,1352868,1,11,1,1,2,60,1,0.5,3.10951526032316,431439274.0,Pass,1
265,1401935,1,6,1,8,2,60,1,0.0,2.823529411764706,46467652.0,Fail,3
266,1402638,0,8,3,2,2,60,1,0.0,2.935483870967742,169477835.0,Pass,1
267,1414443,0,11,1,3,2,120,1,0.0,4.80352644836272,217052723.0,Fail,3
268,1456619,1,7,1,10,2,60,1,0.5,3.5871559633027523,241217726.0,Withdrawn,2
269,1456619,1,7,1,10,2,60,1,0.5,3.5871559633027523,241217726.0,Withdrawn,2
270,1465690,1,6,3,5,2,120,1,0.0,3.4808853118712273,543415112.0,Pass,1
271,1472925,0,2,2,5,2,60,2,0.5,3.940700808625337,249546691.0,Fail,3
272,1472925,0,2,2,5,2,60,2,0.5,3.940700808625337,249546691.0,Pass,1
273,1488959,1,3,1,8,2,60,1,0.0,4.844660194174757,394173290.0,Pass,1
274,1518989,0,9,2,9,2,60,1,0.0,3.5519864750633983,646728335.0,Pass,1
275,1618738,1,3,2,10,2,60,1,0.0,4.918367346938775,80370584.0,Pass,1
276,1620151,1,4,3,10,2,60,1,0.0,4.577981651376147,119182654.0,Fail,3
277,1626710,1,5,1,7,2,60,1,0.0,3.584176085663296,918996706.0,Distinction,4
278,1640609,1,6,1,2,2,60,1,0.0,3.531751570132589,783385789.0,Pass,1
279,1686521,0,5,2,6,2,60,1,0.0,3.199004975124378,109897487.0,Withdrawn,2
280,1729319,0,1,3,5,2,60,1,0.0,3.6026143790849674,418238214.0,Pass,1
281,1746134,1,2,1,7,2,60,1,0.0,3.2940074906367043,291954445.0,Pass,1
282,1758449,1,4,2,2,2,75,1,0.0,4.24,355354379.0,Withdrawn,2
283,1763015,0,1,1,3,2,60,1,0.0,14.0,16403277.0,Withdrawn,2
284,1765788,1,9,3,8,3,60,1,0.0,4.122079439252336,935921494.0,Pass,1
285,1801229,1,13,3,0,2,60,1,0.0,3.8894878706199463,202830575.0,Pass,1
286,1801641,1,1,1,2,2,60,1,0.0,3.425373134328358,73259433.0,Pass,1
287,1847830,1,7,2,5,2,60,1,0.0,4.016019716574245,887257114.0,Pass,1
288,1860318,1,7,2,5,2,300,2,0.0,4.499246987951807,725974674.0,Pass,1
289,1889511,1,11,1,6,2,60,1,0.0,3.0504347826086957,314346598.0,Pass,1
290,1889577,0,4,1,8,2,60,2,0.0,3.03257328990228,167847405.0,Pass,1
291,1894188,0,8,1,9,1,60,1,0.0,8.763265306122449,267885756.0,Pass,1
292,1938355,1,4,1,10,2,60,1,0.0,3.2817133443163096,331840740.0,Pass,1
293,1942396,0,2,2,5,2,120,2,0.0,2.8658536585365852,89660149.0,Pass,1
294,1970390,1,6,2,4,2,60,1,0.5,4.962676529926026,1945872257.0,Withdrawn,2
295,1970390,1,6,2,4,2,120,1,0.5,4.962676529926026,1945872257.0,Pass,1
296,1976139,1,13,2,6,2,120,1,0.0,3.4350282485875705,193539945.0,Pass,1
297,2011876,0,2,1,10,1,60,2,0.0,3.343675417661098,229084162.0,Pass,1
298,2012966,1,5,2,2,2,60,1,0.0,3.5067567567567566,80915066.0,Pass,1
299,2051699,0,7,2,8,2,60,1,0.0,3.931972789115646,241112495.0,Pass,1
300,2062879,0,2,1,7,1,60,1,0.0,3.2330623306233064,403471189.0,Fail,3
301,2065691,1,3,1,2,2,330,2,0.0,5.766129032258065,135592391.0,Withdrawn,2
302,2073016,0,3,2,2,2,60,1,0.5,2.5297029702970297,245661967.0,Withdrawn,2
303,2073016,0,3,2,2,2,60,1,0.5,2.5297029702970297,245661967.0,Fail,3
304,2080474,0,4,1,10,2,60,1,0.0,3.1745152354570636,197362997.0,Pass,1
305,2083877,0,6,1,4,1,120,1,0.0,2.6550387596899223,141057444.0,Pass,1
306,2084066,0,7,2,6,2,60,1,0.0,4.230107526881721,254219615.0,Fail,3
307,2104505,1,6,2,4,2,60,1,0.0,3.5583756345177666,107704853.0,Pass,1
308,2122180,0,5,2,9,2,60,1,0.0,4.822927328556807,534126836.0,Distinction,4
309,2139353,1,3,1,6,2,120,1,0.5,2.9812734082397006,555498960.0,Withdrawn,2
310,2139353,1,3,1,6,2,60,1,0.5,2.9812734082397006,555498960.0,Pass,1
311,2143752,0,4,2,8,2,60,1,0.0,5.363636363636363,192452201.0,Pass,1
312,2146792,1,5,3,1,3,60,1,0.0,3.3125,393620192.0,Pass,1
313,2149225,1,1,1,8,2,60,2,0.0,3.625,48114858.0,Withdrawn,2
314,2153153,0,11,1,5,1,60,1,0.0,4.123020706455542,448828540.0,Pass,1
